year,countyreal,lpop,lemp,year_mw
2003,8001,5.896760933,8.461469043,2007
2004,8001,5.896760933,8.336869637,2007
2005,8001,5.896760933,8.340217321,2007
2006,8001,5.896760933,8.378160983,2007
2007,8001,5.896760933,8.487352349,2007
2003,8019,2.232377198,4.997212274,2007
2004,8019,2.232377198,5.081404365,2007
2005,8019,2.232377198,4.787491743,2007
2006,8019,2.232377198,4.990432587,2007
2007,8019,2.232377198,5.036952602,2007
2003,8023,1.298282484,2.197224577,2007
2004,8023,1.298282484,2.302585093,2007
2005,8023,1.298282484,2.772588722,2007
2006,8023,1.298282484,1.945910149,2007
2007,8023,1.298282484,2.995732274,2007
2003,8029,3.326258295,5.883322388,2007
2004,8029,3.326258295,5.789960171,2007
2005,8029,3.326258295,5.857933154,2007
2006,8029,3.326258295,5.998936562,2007
2007,8029,3.326258295,6.104793232,2007
2003,8041,6.247905534,8.968650903,2007
2004,8041,6.247905534,8.915700819,2007
2005,8041,6.247905534,8.900957873,2007
2006,8041,6.247905534,8.902727664,2007
2007,8041,6.247905534,8.881002624,2007
2003,8063,2.080815597,4.941642423,2007
2004,8063,2.080815597,4.86753445,2007
2005,8063,2.080815597,4.663439094,2007
2006,8063,2.080815597,4.812184355,2007
2007,8063,2.080815597,4.919980926,2007
2003,8075,3.020619989,5.697093487,2007
2004,8075,3.020619989,5.631211782,2007
2005,8075,3.020619989,5.720311777,2007
2006,8075,3.020619989,5.796057751,2007
2007,8075,3.020619989,5.560681631,2007
2003,8103,1.789423409,4.454347296,2007
2004,8103,1.789423409,4.584967479,2007
2005,8103,1.789423409,4.753590191,2007
2006,8103,1.789423409,4.905274778,2007
2007,8103,1.789423409,4.718498871,2007
2003,8117,3.159040891,6.378426184,2007
2004,8117,3.159040891,6.274762021,2007
2005,8117,3.159040891,6.284134161,2007
2006,8117,3.159040891,6.381816017,2007
2007,8117,3.159040891,6.431331082,2007
2003,8123,5.198143378,7.755338813,2007
2004,8123,5.198143378,7.687997166,2007
2005,8123,5.198143378,7.754052639,2007
2006,8123,5.198143378,7.789454566,2007
2007,8123,5.198143378,7.803026644,2007
2003,12007,3.261475438,5.501258211,2006
2004,12007,3.261475438,5.59471138,2006
2005,12007,3.261475438,5.247024072,2006
2006,12007,3.261475438,5.433722004,2006
2007,12007,3.261475438,5.442417711,2006
2003,12019,4.947439871,7.772752716,2006
2004,12019,4.947439871,7.811163385,2006
2005,12019,4.947439871,7.80139132,2006
2006,12019,4.947439871,7.863266724,2006
2007,12019,4.947439871,7.870165946,2006
2003,12023,4.0344707,6.991176887,2006
2004,12023,4.0344707,6.538139824,2006
2005,12023,4.0344707,6.590301048,2006
2006,12023,4.0344707,6.551080335,2006
2007,12023,4.0344707,6.717804695,2006
2003,12029,2.626623202,3.850147602,2006
2004,12029,2.626623202,4.077537444,2006
2005,12029,2.626623202,4.356708827,2006
2006,12029,2.626623202,4.317488114,2006
2007,12029,2.626623202,4.33073334,2006
2003,12051,3.589335324,6.426488457,2006
2004,12051,3.589335324,6.423246964,2006
2005,12051,3.589335324,6.37331979,2006
2006,12051,3.589335324,6.411818268,2006
2007,12051,3.589335324,6.37331979,2006
2003,12071,6.088790875,8.758726608,2006
2004,12071,6.088790875,8.798454696,2006
2005,12071,6.088790875,8.991188842,2006
2006,12071,6.088790875,9.151651376,2006
2007,12071,6.088790875,9.068431126,2006
2003,12087,4.376875892,6.723832441,2006
2004,12087,4.376875892,6.792344427,2006
2005,12087,4.376875892,6.758094504,2006
2006,12087,4.376875892,6.746412129,2006
2007,12087,4.376875892,6.747586527,2006
2003,12093,3.581015808,5.723585102,2006
2004,12093,3.581015808,6.011267174,2006
2005,12093,3.581015808,6.102558595,2006
2006,12093,3.581015808,6.091309882,2006
2007,12093,3.581015808,6.144185634,2006
2003,12097,5.150356656,7.590852124,2006
2004,12097,5.150356656,7.593877845,2006
2005,12097,5.150356656,7.765569081,2006
2006,12097,5.150356656,7.873217055,2006
2007,12097,5.150356656,7.847371836,2006
2003,12099,7.031020151,9.76864101,2006
2004,12099,7.031020151,9.629182277,2006
2005,12099,7.031020151,9.722025626,2006
2006,12099,7.031020151,9.816239784,2006
2007,12099,7.031020151,9.893639216,2006
2003,12109,4.813281314,7.550661243,2006
2004,12109,4.813281314,7.627057417,2006
2005,12109,4.813281314,7.711996507,2006
2006,12109,4.813281314,7.862882035,2006
2007,12109,4.813281314,7.881182202,2006
2003,12113,4.768504283,7.090909822,2006
2004,12113,4.768504283,7.163946684,2006
2005,12113,4.768504283,7.360739903,2006
2006,12113,4.768504283,7.403061091,2006
2007,12113,4.768504283,7.333676396,2006
2003,12121,3.550880956,5.673323267,2006
2004,12121,3.550880956,5.697093487,2006
2005,12121,3.550880956,5.700443573,2006
2006,12121,3.550880956,5.777652323,2006
2007,12121,3.550880956,5.783825182,2006
2003,13011,2.668754818,5.272999559,0
2004,13011,2.668754818,5.313205979,0
2005,13011,2.668754818,5.493061443,0
2006,13011,2.668754818,5.598421959,0
2007,13011,2.668754818,5.572154032,0
2003,13013,3.831766942,6.188264123,0
2004,13013,3.831766942,6.182084907,0
2005,13013,3.831766942,6.255750042,0
2006,13013,3.831766942,6.43775165,0
2007,13013,3.831766942,6.401917197,0
2003,13019,2.787169406,5.564520407,0
2004,13019,2.787169406,5.556828062,0
2005,13019,2.787169406,5.655991811,0
2006,13019,2.787169406,5.627621114,0
2007,13019,2.787169406,4.997212274,0
2003,13021,5.036218567,7.738923757,0
2004,13021,5.036218567,7.727975542,0
2005,13021,5.036218567,7.731492029,0
2006,13021,5.036218567,7.709756864,0
2007,13021,5.036218567,7.607381426,0
2003,13037,1.843719208,2.772588722,0
2004,13037,1.843719208,3.044522438,0
2005,13037,1.843719208,2.708050201,0
2006,13037,1.843719208,3.17805383,0
2007,13037,1.843719208,3.465735903,0
2003,13039,3.776523964,6.224558429,0
2004,13039,3.776523964,6.29156914,0
2005,13039,3.776523964,6.356107661,0
2006,13039,3.776523964,6.342121419,0
2007,13039,3.776523964,6.293419279,0
2003,13049,2.330394794,4.624972813,0
2004,13049,2.330394794,4.465908119,0
2005,13049,2.330394794,4.663439094,0
2006,13049,2.330394794,4.700480366,0
2007,13049,2.330394794,4.753590191,0
2003,13057,4.955143726,7.422373701,0
2004,13057,4.955143726,7.499976541,0
2005,13057,4.955143726,7.626082758,0
2006,13057,4.955143726,7.713784617,0
2007,13057,4.955143726,7.803435057,0
2003,13077,4.491049187,7.113142109,0
2004,13077,4.491049187,7.07834158,0
2005,13077,4.491049187,7.104144093,0
2006,13077,4.491049187,7.161622003,0
2007,13077,4.491049187,7.263329617,0
2003,13079,2.525328564,4.025351691,0
2004,13079,2.525328564,3.663561646,0
2005,13079,2.525328564,3.433987204,0
2006,13079,2.525328564,3.401197382,0
2007,13079,2.525328564,3.135494216,0
2003,13093,2.444518589,3.761200116,0
2004,13093,2.444518589,3.737669618,0
2005,13093,2.444518589,3.63758616,0
2006,13093,2.444518589,4.094344562,0
2007,13093,2.444518589,4.343805422,0
2003,13097,4.523678095,7.427144133,0
2004,13097,4.523678095,7.467942332,0
2005,13097,4.523678095,7.5750717,0
2006,13097,4.523678095,7.715123604,0
2007,13097,4.523678095,7.827639546,0
2003,13109,2.350898953,5.198497031,0
2004,13109,2.350898953,5.159055299,0
2005,13109,2.350898953,5.214935758,0
2006,13109,2.350898953,5.135798437,0
2007,13109,2.350898953,5.209486153,0
2003,13113,4.513745448,7.425357887,0
2004,13113,4.513745448,7.443663683,0
2005,13113,4.513745448,7.451822237,0
2006,13113,4.513745448,7.517520851,0
2007,13113,4.513745448,7.637234389,0
2003,13117,4.58911194,7.331060305,0
2004,13117,4.58911194,7.388946098,0
2005,13117,4.58911194,7.527793988,0
2006,13117,4.58911194,7.647308832,0
2007,13117,4.58911194,7.638198244,0
2003,13129,3.786550481,6.445719819,0
2004,13129,3.786550481,6.376726948,0
2005,13129,3.786550481,6.361302478,0
2006,13129,3.786550481,6.354370041,0
2007,13129,3.786550481,6.398594935,0
2003,13135,6.377488563,9.19482056,0
2004,13135,6.377488563,9.145908512,0
2005,13135,6.377488563,9.19482056,0
2006,13135,6.377488563,9.2950491,0
2007,13135,6.377488563,9.295692039,0
2003,13147,3.135363773,5.583496309,0
2004,13147,3.135363773,5.442417711,0
2005,13147,3.135363773,5.583496309,0
2006,13147,3.135363773,5.513428746,0
2007,13147,3.135363773,5.572154032,0
2003,13155,2.295661178,4.060443011,0
2004,13155,2.295661178,3.828641396,0
2005,13155,2.295661178,4.127134385,0
2006,13155,2.295661178,3.828641396,0
2007,13155,2.295661178,3.871201011,0
2003,13161,2.540341357,5.010635294,0
2004,13161,2.540341357,4.912654886,0
2005,13161,2.540341357,5.075173815,0
2006,13161,2.540341357,5.198497031,0
2007,13161,2.540341357,5.236441963,0
2003,13179,4.120824195,6.023447593,0
2004,13179,4.120824195,5.916202063,0
2005,13179,4.120824195,6.17586727,0
2006,13179,4.120824195,6.135564891,0
2007,13179,4.120824195,6.150602768,0
2003,13195,3.247657626,4.753590191,0
2004,13195,3.247657626,4.779123493,0
2005,13195,3.247657626,4.663439094,0
2006,13195,3.247657626,4.875197323,0
2007,13195,3.247657626,5.003946306,0
2003,13197,1.966272844,3.737669618,0
2004,13197,1.966272844,3.63758616,0
2005,13197,1.966272844,3.526360525,0
2006,13197,1.966272844,3.891820298,0
2007,13197,1.966272844,3.951243719,0
2003,13209,2.112634509,3.828641396,0
2004,13209,2.112634509,3.401197382,0
2005,13209,2.112634509,3.555348061,0
2006,13209,2.112634509,3.663561646,0
2007,13209,2.112634509,3.583518938,0
2003,13211,2.738061975,5.192956851,0
2004,13211,2.738061975,5.187385806,0
2005,13211,2.738061975,5.283203729,0
2006,13211,2.738061975,5.605802066,0
2007,13211,2.738061975,5.59471138,0
2003,13213,3.597476631,5.710427017,0
2004,13213,3.597476631,5.683579767,0
2005,13213,3.597476631,5.384495063,0
2006,13213,3.597476631,5.720311777,0
2007,13213,3.597476631,5.65248918,0
2003,13217,4.127150514,6.452048954,0
2004,13217,4.127150514,6.49677499,0
2005,13217,4.127150514,6.516193076,0
2006,13217,4.127150514,6.628041376,0
2007,13217,4.127150514,6.625392368,0
2003,13223,4.402784688,6.385194399,0
2004,13223,4.402784688,6.484635236,0
2005,13223,4.402784688,6.712956201,0
2006,13223,4.402784688,6.80682936,0
2007,13223,4.402784688,6.98471632,0
2003,13227,3.134754812,5.323009979,0
2004,13227,3.134754812,5.438079309,0
2005,13227,3.134754812,5.375278408,0
2006,13227,3.134754812,5.407171771,0
2007,13227,3.134754812,5.451038454,0
2003,13233,3.640922693,5.966146739,0
2004,13233,3.640922693,5.926926026,0
2005,13233,3.640922693,5.948034989,0
2006,13233,3.640922693,5.908082938,0
2007,13233,3.640922693,5.910796644,0
2003,13237,2.934494964,5.003946306,0
2004,13237,2.934494964,5.036952602,0
2005,13237,2.934494964,5.087596335,0
2006,13237,2.934494964,5.525452939,0
2007,13237,2.934494964,5.424950017,0
2003,13241,2.711377991,5.451038454,0
2004,13241,2.711377991,5.262690189,0
2005,13241,2.711377991,5.424950017,0
2006,13241,2.711377991,5.370638028,0
2007,13241,2.711377991,5.407171771,0
2003,13263,1.871494437,2.397895273,0
2004,13263,1.871494437,2.772588722,0
2005,13263,1.871494437,1.945910149,0
2006,13263,1.871494437,1.791759469,0
2007,13263,1.871494437,2.302585093,0
2003,13271,2.467590928,4.682131227,0
2004,13271,2.467590928,4.86753445,0
2005,13271,2.467590928,5.164785974,0
2006,13271,2.467590928,5.283203729,0
2007,13271,2.467590928,5.192956851,0
2003,13273,2.395164274,3.988984047,0
2004,13273,2.395164274,4.094344562,0
2005,13273,2.395164274,4.17438727,0
2006,13273,2.395164274,4.189654742,0
2007,13273,2.395164274,4.094344562,0
2003,13297,4.105729507,6.532334292,0
2004,13297,4.105729507,6.408528791,0
2005,13297,4.105729507,6.354370041,0
2006,13297,4.105729507,6.52649486,0
2007,13297,4.105729507,6.629363253,0
2003,13303,3.052868465,5.117993812,0
2004,13303,3.052868465,4.990432587,0
2005,13303,3.052868465,4.9698133,0
2006,13303,3.052868465,4.934473933,0
2007,13303,3.052868465,5.043425117,0
2003,13313,4.425145988,7.151485464,0
2004,13313,4.425145988,7.155396302,0
2005,13313,4.425145988,7.200424893,0
2006,13313,4.425145988,7.275864601,0
2007,13313,4.425145988,7.188412736,0
2003,13317,2.36902805,4.927253685,0
2004,13317,2.36902805,4.744932128,0
2005,13317,2.36902805,4.644390899,0
2006,13317,2.36902805,4.59511985,0
2007,13317,2.36902805,4.543294782,0
2003,13321,3.089541327,4.96284463,0
2004,13321,3.089541327,4.976733742,0
2005,13321,3.089541327,5.087596335,0
2006,13321,3.089541327,5.153291594,0
2007,13321,3.089541327,4.890349128,0
2003,16003,1.245882207,3.258096538,0
2004,16003,1.245882207,3.610917913,0
2005,16003,1.245882207,3.988984047,0
2006,16003,1.245882207,3.988984047,0
2007,16003,1.245882207,3.891820298,0
2003,16015,1.89761986,3.891820298,0
2004,16015,1.89761986,3.912023005,0
2005,16015,1.89761986,4.17438727,0
2006,16015,1.89761986,4.025351691,0
2007,16015,1.89761986,4.143134726,0
2003,16017,3.60644848,6.29710932,0
2004,16017,3.60644848,6.298949247,0
2005,16017,3.60644848,6.428105273,0
2006,16017,3.60644848,6.429719478,0
2007,16017,3.60644848,6.405228458,0
2003,16021,2.289601165,4.8978398,0
2004,16021,2.289601165,4.836281907,0
2005,16021,2.289601165,4.96284463,0
2006,16021,2.289601165,4.997212274,0
2007,16021,2.289601165,4.820281566,0
2003,16029,1.988422143,4.941642423,0
2004,16029,1.988422143,4.795790546,0
2005,16029,1.988422143,4.983606622,0
2006,16029,1.988422143,4.787491743,0
2007,16029,1.988422143,5.036952602,0
2003,16041,2.42736581,5.638354669,0
2004,16041,2.42736581,5.537334267,0
2005,16041,2.42736581,5.627621114,0
2006,16041,2.42736581,5.693732139,0
2007,16041,2.42736581,5.749392986,0
2003,16045,2.720044646,5.017279837,0
2004,16045,2.720044646,4.927253685,0
2005,16045,2.720044646,5.129898715,0
2006,16045,2.720044646,5.087596335,0
2007,16045,2.720044646,5.198497031,0
2003,16067,3.004394647,5.733341277,0
2004,16067,3.004394647,5.739792912,0
2005,16067,3.004394647,5.733341277,0
2006,16067,3.004394647,5.774551546,0
2007,16067,3.004394647,5.80814249,0
2003,16079,2.622564932,5.093750201,0
2004,16079,2.622564932,5.176149733,0
2005,16079,2.622564932,5.147494477,0
2006,16079,2.622564932,5.247024072,0
2007,16079,2.622564932,5.384495063,0
2003,16083,4.163310767,7.20489251,0
2004,16083,4.163310767,7.183111702,0
2005,16083,4.163310767,7.140453043,0
2006,16083,4.163310767,7.23489842,0
2007,16083,4.163310767,7.289610521,0
2003,17005,2.869772146,5.187385806,2004
2004,17005,2.869772146,5.068904202,2004
2005,17005,2.869772146,4.934473933,2004
2006,17005,2.869772146,4.890349128,2004
2007,17005,2.869772146,4.990432587,2004
2003,17015,2.81385062,5.429345629,2004
2004,17015,2.81385062,5.420534999,2004
2005,17015,2.81385062,5.501258211,2004
2006,17015,2.81385062,5.468060141,2004
2007,17015,2.81385062,5.455321115,2004
2003,17025,2.678278043,5.087596335,2004
2004,17025,2.678278043,5.003946306,2004
2005,17025,2.678278043,4.852030264,2004
2006,17025,2.678278043,4.983606622,2004
2007,17025,2.678278043,4.976733742,2004
2003,17035,2.42063476,4.927253685,2004
2004,17035,2.42063476,4.59511985,2004
2005,17035,2.42063476,4.442651256,2004
2006,17035,2.42063476,4.304065093,2004
2007,17035,2.42063476,4.465908119,2004
2003,17047,1.941758687,4.356708827,2004
2004,17047,1.941758687,4.394449155,2004
2005,17047,1.941758687,4.204692619,2004
2006,17047,1.941758687,4.007333185,2004
2007,17047,1.941758687,4.127134385,2004
2003,17049,3.53409524,6.9902565,2004
2004,17049,3.53409524,6.909753282,2004
2005,17049,3.53409524,6.875232087,2004
2006,17049,3.53409524,6.833031733,2004
2007,17049,3.53409524,6.876264612,2004
2003,17053,2.656125128,5.616771098,2004
2004,17053,2.656125128,5.488937726,2004
2005,17053,2.656125128,5.488937726,2004
2006,17053,2.656125128,5.513428746,2004
2007,17053,2.656125128,5.313205979,2004
2003,17063,3.625273831,6.580639137,2004
2004,17063,3.625273831,6.476972363,2004
2005,17063,3.625273831,6.49375384,2004
2006,17063,3.625273831,6.483107351,2004
2007,17063,3.625273831,6.56948142,2004
2003,17089,6.001709389,9.00675432,2004
2004,17089,6.001709389,8.967631665,2004
2005,17089,6.001709389,8.991188842,2004
2006,17089,6.001709389,8.978029933,2004
2007,17089,6.001709389,9.025094544,2004
2003,17097,6.468251368,9.273690687,2004
2004,17097,6.468251368,9.221478116,2004
2005,17097,6.468251368,9.207235557,2004
2006,17097,6.468251368,9.245997049,2004
2007,17097,6.468251368,9.238247325,2004
2003,17113,5.013517802,7.890956716,2004
2004,17113,5.013517802,7.776535028,2004
2005,17113,5.013517802,7.75576717,2004
2006,17113,5.013517802,7.740229525,2004
2007,17113,5.013517802,7.818832444,2004
2003,17125,2.774960906,5.247024072,2004
2004,17125,2.774960906,5.252273428,2004
2005,17125,2.774960906,4.976733742,2004
2006,17125,2.774960906,4.990432587,2004
2007,17125,2.774960906,5.056245805,2004
2003,17135,3.422697913,6.077642243,2004
2004,17135,3.422697913,6.102558595,2004
2005,17135,3.422697913,6.154858094,2004
2006,17135,3.422697913,6.013715156,2004
2007,17135,3.422697913,6.01615716,2004
2003,17155,1.805991051,4.025351691,2004
2004,17155,1.805991051,3.737669618,2004
2005,17155,1.805991051,3.912023005,2004
2006,17155,1.805991051,3.784189634,2004
2007,17155,1.805991051,4.248495242,2004
2003,17161,5.006453228,7.876638461,2004
2004,17161,5.006453228,7.824046011,2004
2005,17161,5.006453228,7.865571758,2004
2006,17161,5.006453228,7.851661178,2004
2007,17161,5.006453228,7.829232538,2004
2003,17169,1.97255208,4.521788577,2004
2004,17169,1.97255208,4.532599493,2004
2005,17169,1.97255208,4.317488114,2004
2006,17169,1.97255208,4.382026635,2004
2007,17169,1.97255208,4.430816799,2004
2003,17193,2.732482617,5.451038454,2004
2004,17193,2.732482617,5.38907173,2004
2005,17193,2.732482617,5.252273428,2004
2006,17193,2.732482617,5.176149733,2004
2007,17193,2.732482617,5.272999559,2004
2003,17195,4.105169098,6.717804695,2004
2004,17195,4.105169098,6.668228248,2004
2005,17195,4.105169098,6.768493212,2004
2006,17195,4.105169098,6.689599269,2004
2007,17195,4.105169098,6.732210706,2004
2003,17199,4.115714588,6.81014245,2004
2004,17199,4.115714588,6.859614904,2004
2005,17199,4.115714588,6.777646594,2004
2006,17199,4.115714588,6.72982407,2004
2007,17199,4.115714588,6.778784898,2004
2003,17203,3.568659076,6.519147288,2004
2004,17203,3.568659076,6.440946541,2004
2005,17203,3.568659076,6.416732283,2004
2006,17203,3.568659076,6.469250317,2004
2007,17203,3.568659076,6.486160789,2004
2003,18005,4.268787945,7.153051635,0
2004,18005,4.268787945,7.117205503,0
2005,18005,4.268787945,7.166265974,0
2006,18005,4.268787945,7.100027167,0
2007,18005,4.268787945,7.081708586,0
2003,18017,3.711863291,6.29156914,0
2004,18017,3.711863291,6.204557763,0
2005,18017,3.711863291,6.102558595,0
2006,18017,3.711863291,6.091309882,0
2007,18017,3.711863291,6.061456919,0
2003,18019,4.569252811,7.406103381,0
2004,18019,4.569252811,7.313886832,0
2005,18019,4.569252811,7.279318835,0
2006,18019,4.569252811,7.409741954,0
2007,18019,4.569252811,7.368970402,0
2003,18021,3.279255711,5.472270674,0
2004,18021,3.279255711,5.736572297,0
2005,18021,3.279255711,5.755742214,0
2006,18021,3.279255711,5.609471795,0
2007,18021,3.279255711,5.560681631,0
2003,18023,3.522411561,6.120297419,0
2004,18023,3.522411561,6.070737728,0
2005,18023,3.522411561,6.042632834,0
2006,18023,3.522411561,6.001414878,0
2007,18023,3.522411561,6.023447593,0
2003,18029,3.831008159,6.802394763,0
2004,18029,3.831008159,6.744059186,0
2005,18029,3.831008159,6.756932389,0
2006,18029,3.831008159,6.64898455,0
2007,18029,3.831008159,6.81014245,0
2003,18033,3.695979191,6.507277712,0
2004,18033,3.695979191,6.421622268,0
2005,18033,3.695979191,6.436150368,0
2006,18033,3.695979191,6.51174533,0
2007,18033,3.695979191,6.378426184,0
2003,18035,4.77718043,7.347299701,0
2004,18035,4.77718043,7.227662499,0
2005,18035,4.77718043,7.192934221,0
2006,18035,4.77718043,7.189922171,0
2007,18035,4.77718043,7.17472431,0
2003,18053,4.295964807,6.871091295,0
2004,18053,4.295964807,6.781057626,0
2005,18053,4.295964807,6.758094504,0
2006,18053,4.295964807,6.670766321,0
2007,18053,4.295964807,6.665683718,0
2003,18063,4.64528473,7.560601163,0
2004,18063,4.64528473,7.597897951,0
2005,18063,4.64528473,7.644440762,0
2006,18063,4.64528473,7.70616297,0
2007,18063,4.64528473,7.740664402,0
2003,18081,4.74674787,7.749753406,0
2004,18081,4.74674787,7.738052298,0
2005,18081,4.74674787,7.718685495,0
2006,18081,4.74674787,7.710653324,0
2007,18081,4.74674787,7.7164608,0
2003,18083,3.670104299,6.33150185,0
2004,18083,3.670104299,6.249975242,0
2005,18083,3.670104299,6.248042875,0
2006,18083,3.670104299,6.293419279,0
2007,18083,3.670104299,6.182084907,0
2003,18091,4.701443538,7.43543802,0
2004,18091,4.701443538,7.37337431,0
2005,18091,4.701443538,7.395107547,0
2006,18091,4.701443538,7.379008128,0
2007,18091,4.701443538,7.371489295,0
2003,18093,3.826944305,6.210600077,0
2004,18093,3.826944305,6.154858094,0
2005,18093,3.826944305,6.156978986,0
2006,18093,3.826944305,6.159095388,0
2007,18093,3.826944305,6.202535517,0
2003,18099,3.809502896,6.573680167,0
2004,18099,3.809502896,6.514712691,0
2005,18099,3.809502896,6.480044562,0
2006,18099,3.809502896,6.523562306,0
2007,18099,3.809502896,6.458338283,0
2003,18109,4.200040022,6.680854679,0
2004,18109,4.200040022,6.630683386,0
2005,18109,4.200040022,6.65929392,0
2006,18109,4.200040022,6.616065185,0
2007,18109,4.200040022,6.597145702,0
2003,18113,3.834601858,6.490723535,0
2004,18113,3.834601858,6.456769656,0
2005,18113,3.834601858,6.391917113,0
2006,18113,3.834601858,6.419994928,0
2007,18113,3.834601858,6.396929655,0
2003,18115,1.726865329,4.290459441,0
2004,18115,1.726865329,4.262679877,0
2005,18115,1.726865329,4.17438727,0
2006,18115,1.726865329,4.043051268,0
2007,18115,1.726865329,4.077537444,0
2003,18119,3.081267562,5.283203729,0
2004,18119,3.081267562,5.303304908,0
2005,18119,3.081267562,5.351858133,0
2006,18119,3.081267562,5.308267697,0
2007,18119,3.081267562,5.272999559,0
2003,18133,3.584046577,6.442540166,0
2004,18133,3.584046577,6.476972363,0
2005,18133,3.584046577,6.432940093,0
2006,18133,3.584046577,6.28785856,0
2007,18133,3.584046577,6.246106765,0
2003,18145,3.77149577,6.487684018,0
2004,18145,3.77149577,6.472346295,0
2005,18145,3.77149577,6.311734809,0
2006,18145,3.77149577,6.188264123,0
2007,18145,3.77149577,6.135564891,0
2003,18157,5.003644247,7.70616297,0
2004,18157,5.003644247,7.642524134,0
2005,18157,5.003644247,7.707512195,0
2006,18157,5.003644247,7.73587032,0
2007,18157,5.003644247,7.7419679,0
2003,18175,3.304062204,5.351858133,0
2004,18175,3.304062204,5.318119994,0
2005,18175,3.304062204,5.220355825,0
2006,18175,3.304062204,5.247024072,0
2007,18175,3.304062204,5.272999559,0
2003,18179,3.317815773,6.084499413,0
2004,18179,3.317815773,5.948034989,0
2005,18179,3.317815773,5.929589143,0
2006,18179,3.317815773,6.052089169,0
2007,18179,3.317815773,5.831882477,0
2003,18181,3.229499197,5.533389489,0
2004,18181,3.229499197,5.323009979,0
2005,18181,3.229499197,5.288267031,0
2006,18181,3.229499197,5.257495372,0
2007,18181,3.229499197,5.231108617,0
2003,19013,4.85212401,7.904334842,0
2004,19013,4.85212401,7.837948916,0
2005,19013,4.85212401,7.840706452,0
2006,19013,4.85212401,7.854769183,0
2007,19013,4.85212401,7.879291485,0
2003,19025,2.408295547,5.468060141,0
2004,19025,2.408295547,5.225746674,0
2005,19025,2.408295547,5.187385806,0
2006,19025,2.408295547,5.220355825,0
2007,19025,2.408295547,5.153291594,0
2003,19069,2.370617503,5.283203729,0
2004,19069,2.370617503,5.214935758,0
2005,19069,2.370617503,5.313205979,0
2006,19069,2.370617503,5.198497031,0
2007,19069,2.370617503,5.204006687,0
2003,19077,2.429482026,5.056245805,0
2004,19077,2.429482026,4.976733742,0
2005,19077,2.429482026,4.941642423,0
2006,19077,2.429482026,4.844187086,0
2007,19077,2.429482026,4.875197323,0
2003,19083,2.934494964,5.874930731,0
2004,19083,2.934494964,5.786897381,0
2005,19083,2.934494964,5.752572639,0
2006,19083,2.934494964,5.771441123,0
2007,19083,2.934494964,5.752572639,0
2003,19087,3.012392714,6.202535517,0
2004,19087,3.012392714,6.011267174,0
2005,19087,3.012392714,6.013715156,0
2006,19087,3.012392714,5.988961417,0
2007,19087,3.012392714,5.926926026,0
2003,19111,3.638953645,6.406879986,0
2004,19111,3.638953645,6.320768294,0
2005,19111,3.638953645,6.393590754,0
2006,19111,3.638953645,6.436150368,0
2007,19111,3.638953645,6.432940093,0
2003,19113,5.255936867,8.309922989,0
2004,19113,5.255936867,8.287025025,0
