StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q4,effect,null_effect,null_effect_cap,baseline,outcome
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your baseline sickness level? (1: Completely healthy - 10: Very sick)



Read the green piece of paper - 1",Would you go to the hospital/urgent care?,effect,null_effect,null_effect_cap,baseline,outcome
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4""}","{""ImportId"":""effect""}","{""ImportId"":""null_effect""}","{""ImportId"":""null_effect_cap""}","{""ImportId"":""baseline""}","{""ImportId"":""outcome""}"
2022-09-15 10:37:45,2022-09-15 10:38:00,IP Address,128.62.33.156,100,14,True,2022-09-15 10:38:00,R_3FV6LH7R608NtXm,,,,,30.2887,-97.7398,qr,EN,7,No,3,0,0,7,7
2022-09-15 10:37:53,2022-09-15 10:38:03,IP Address,128.62.16.182,100,10,True,2022-09-15 10:38:03,R_2YRKopvRbmIRFre,,,,,30.2887,-97.7398,qr,EN,3,No,4,-1,-1,3,4
2022-09-15 10:37:58,2022-09-15 10:38:11,IP Address,128.62.16.103,100,12,True,2022-09-15 10:38:11,R_xgXdebbaVZgMU25,,,,,30.2887,-97.7398,qr,EN,1,No,3,1,-1,1,2
2022-09-15 10:37:51,2022-09-15 10:38:11,IP Address,128.62.19.191,100,19,True,2022-09-15 10:38:11,R_XB5Di3fsudar8nD,,,,,30.2887,-97.7398,qr,EN,8,Yes,2,0,0,8,6
2022-09-15 10:37:55,2022-09-15 10:38:12,IP Address,128.62.18.141,100,16,True,2022-09-15 10:38:12,R_3DbECujoKFZ6gds,,,,,30.2887,-97.7398,qr,EN,2,No,2,-1,0,2,3
2022-09-15 10:37:52,2022-09-15 10:38:17,IP Address,128.62.41.231,100,25,True,2022-09-15 10:38:18,R_2rHjExhB4LitACU,,,,,30.2887,-97.7398,qr,EN,7,No,4,-1,0,7,8
2022-09-15 10:37:50,2022-09-15 10:38:18,IP Address,128.62.71.32,100,27,True,2022-09-15 10:38:18,R_Q023mnIeBiUvqvf,,,,,30.2887,-97.7398,qr,EN,4,No,4,1,-1,4,3
2022-09-15 10:38:07,2022-09-15 10:38:19,IP Address,128.62.78.8,100,11,True,2022-09-15 10:38:19,R_9ZHCCjryLpte5Pj,,,,,30.2881,-97.764,qr,EN,3,No,4,1,0,3,2
2022-09-15 10:37:58,2022-09-15 10:38:19,IP Address,128.62.69.17,100,20,True,2022-09-15 10:38:19,R_3iy60LDmtmR6QDr,,,,,30.2887,-97.7398,qr,EN,5,No,2,-1,-1,5,6
2022-09-15 10:38:02,2022-09-15 10:38:19,IP Address,128.62.16.17,100,17,True,2022-09-15 10:38:20,R_3n7wggdWrCQPmAk,,,,,30.2887,-97.7398,qr,EN,4,No,2,0,-1,4,4
2022-09-15 10:37:58,2022-09-15 10:38:21,IP Address,128.62.73.18,100,22,True,2022-09-15 10:38:21,R_22M2h4Q1fJU8bTI,,,,,30.2887,-97.7398,qr,EN,8,Yes,2,0,0,8,6
2022-09-15 10:38:01,2022-09-15 10:38:21,IP Address,198.214.81.107,100,20,True,2022-09-15 10:38:22,R_1r16dEfqoPnXnud,,,,,30.2887,-97.7398,qr,EN,4,No,4,-1,0,4,5
2022-09-15 10:37:53,2022-09-15 10:38:23,IP Address,128.62.20.51,100,30,True,2022-09-15 10:38:23,R_2xwTIdGmeZg0sbZ,,,,,30.2887,-97.7398,qr,EN,9,Yes,3,1,-1,9,6
2022-09-15 10:37:54,2022-09-15 10:38:25,IP Address,128.62.26.116,100,31,True,2022-09-15 10:38:26,R_21aGXEHYNiMKszN,,,,,30.2887,-97.7398,qr,EN,10,Yes,3,1,0,10,7
2022-09-15 10:38:00,2022-09-15 10:38:25,IP Address,128.62.22.44,100,25,True,2022-09-15 10:38:26,R_1mdW5QFdtsRyUGL,,,,,30.2887,-97.7398,qr,EN,9,No,2,1,0,9,8
2022-09-15 10:38:00,2022-09-15 10:38:28,IP Address,198.214.81.35,100,27,True,2022-09-15 10:38:28,R_1N85BNWiUVsBtKv,,,,,30.2887,-97.7398,qr,EN,6,No,2,0,0,6,6
2022-09-15 10:38:12,2022-09-15 10:38:28,IP Address,128.62.38.32,100,15,True,2022-09-15 10:38:28,R_1OU2a9og4XgI4CL,,,,,30.2887,-97.7398,qr,EN,1,No,3,-1,-1,1,2
2022-09-15 10:37:54,2022-09-15 10:38:33,IP Address,128.62.19.79,100,38,True,2022-09-15 10:38:33,R_2e2RcYwEvBvGvLC,,,,,30.2887,-97.7398,qr,EN,5,Yes,4,0,-1,5,1
2022-09-15 10:37:57,2022-09-15 10:38:33,IP Address,128.62.53.17,100,36,True,2022-09-15 10:38:34,R_3nBZeDOZa6Le0vD,,,,,30.2887,-97.7398,qr,EN,6,No,4,-1,0,6,7
2022-09-15 10:37:57,2022-09-15 10:38:37,IP Address,128.62.39.251,100,39,True,2022-09-15 10:38:37,R_DqIhF2MMKTLoDtf,,,,,30.2887,-97.7398,qr,EN,5,No,2,1,0,5,4
2022-09-15 10:37:54,2022-09-15 10:38:38,IP Address,128.62.27.17,100,43,True,2022-09-15 10:38:39,R_3is6vJcCkulfCZR,,,,,30.2887,-97.7398,anonymous,EN,8,Yes,2,1,0,8,6
2022-09-15 10:38:14,2022-09-15 10:38:40,IP Address,128.62.42.150,100,26,True,2022-09-15 10:38:40,R_XqdXRyR9IoOWYYV,,,,,30.2887,-97.7398,qr,EN,2,No,2,0,0,2,2
2022-09-15 10:37:53,2022-09-15 10:38:48,IP Address,128.62.34.41,100,55,True,2022-09-15 10:38:48,R_2S0p12pdiEgaLeJ,,,,,30.2887,-97.7398,qr,EN,10,Yes,4,-1,0,10,6
2022-09-15 10:37:56,2022-09-15 10:38:56,IP Address,128.62.43.249,100,60,True,2022-09-15 10:38:56,R_2w6NgHrDaVsVExZ,,,,,30.3075,-97.7271,qr,EN,3,No,4,-1,-1,3,4
2022-09-15 10:38:24,2022-09-15 10:38:59,IP Address,128.62.18.203,100,35,True,2022-09-15 10:39:00,R_2WMZa9J1QM985Ni,,,,,30.2887,-97.7398,qr,EN,8,Yes,3,0,0,8,5
2022-09-15 10:38:22,2022-09-15 10:39:09,IP Address,128.62.34.48,100,46,True,2022-09-15 10:39:09,R_1KfMmW3nSz4HPS1,,,,,30.2887,-97.7398,qr,EN,9,Yes,4,-1,0,9,5
2022-09-15 10:38:42,2022-09-15 10:39:24,IP Address,128.62.45.73,100,41,True,2022-09-15 10:39:24,R_2fChmLlxzOTBZHK,,,,,30.2887,-97.7398,qr,EN,9,No,4,1,-1,9,8
2022-09-15 10:39:17,2022-09-15 10:39:30,IP Address,128.62.16.28,100,12,True,2022-09-15 10:39:30,R_3hgBUZ56nK341Z2,,,,,30.2887,-97.7398,anonymous,EN,2,No,4,1,-1,2,1
2022-09-15 10:37:55,2022-09-15 10:39:32,IP Address,128.62.32.112,100,96,True,2022-09-15 10:39:32,R_2uyQgi6ajx5iaB4,,,,,30.2887,-97.7398,qr,EN,2,No,4,-1,0,2,3
2022-09-15 10:39:13,2022-09-15 10:39:39,IP Address,128.62.20.100,100,25,True,2022-09-15 10:39:39,R_1Q9nBDj6ewPlGbU,,,,,30.2887,-97.7398,anonymous,EN,9,No,3,1,0,9,8
