chain,location,wage,full,part,date
burgerking,PA,4.75,15,18,nov1992
burgerking,PA,5,26,9,nov1992
kfc,PA,5,3,12,nov1992
kfc,PA,5,2,9,nov1992
roys,PA,4.75,1,25,nov1992
burgerking,PA,5,9,32,nov1992
burgerking,PA,4.5,7,39,nov1992
burgerking,PA,4.75,18,10,nov1992
burgerking,PA,4.5,5,20,nov1992
kfc,PA,5,15,4,nov1992
kfc,PA,4.75,4,13,nov1992
roys,PA,4.75,6,20,nov1992
roys,PA,4.75,5,15,nov1992
roys,PA,4.25,2,19,nov1992
roys,PA,5,2,18,nov1992
roys,PA,4.9,0,30,nov1992
roys,PA,5,8,20,nov1992
roys,PA,4.75,10,10,nov1992
wendys,PA,5,0,31,nov1992
roys,PA,4.25,5.5,10,nov1992
roys,PA,4.75,5,19,nov1992
burgerking,PA,4.25,6,25,nov1992
burgerking,PA,4.25,7,25,nov1992
burgerking,PA,4.25,0,42,nov1992
burgerking,PA,4.25,0,22,nov1992
burgerking,PA,4.25,11,12,nov1992
burgerking,PA,4.25,0,45,nov1992
burgerking,PA,4.38,7.5,25,nov1992
kfc,PA,4.75,4,20,nov1992
kfc,PA,4.25,6,15,nov1992
wendys,PA,4.5,7,18,nov1992
wendys,PA,4.5,0,28,nov1992
wendys,PA,4.25,0,16,nov1992
wendys,PA,4.25,10,20,nov1992
kfc,PA,4.25,1,14,nov1992
burgerking,PA,4.25,0,48,nov1992
burgerking,PA,5.05,25,10,nov1992
burgerking,PA,4.25,19,29,nov1992
burgerking,PA,4.25,0,32,nov1992
kfc,PA,4.25,2,9,nov1992
wendys,PA,4.25,0,30,nov1992
wendys,PA,4.35,5,20,nov1992
wendys,PA,4.5,10,35,nov1992
burgerking,PA,4.5,8,27,nov1992
burgerking,PA,5,15,15,nov1992
burgerking,PA,4.75,27.5,8,nov1992
kfc,PA,5,0,18,nov1992
roys,PA,4.35,0,20,nov1992
burgerking,PA,4.25,12,23,nov1992
burgerking,PA,4.9,8,25,nov1992
burgerking,PA,4.5,26,15,nov1992
burgerking,PA,4.5,10,16,nov1992
burgerking,PA,4.75,5,30,nov1992
burgerking,PA,6.25,6,20,nov1992
burgerking,PA,4.35,8,30,nov1992
kfc,PA,4.5,4,12,nov1992
roys,PA,4.5,4,15,nov1992
wendys,PA,5,21,5.5,nov1992
burgerking,PA,4.75,30,15,nov1992
burgerking,PA,4.5,35,6.5,nov1992
roys,PA,4.75,3,13,nov1992
roys,PA,4.25,23,16,nov1992
roys,PA,4.91,2,12,nov1992
burgerking,PA,4.4,0,12,nov1992
burgerking,PA,4.25,3,23,nov1992
roys,centralNJ,5.05,5,2,nov1992
kfc,centralNJ,5.05,4,17,nov1992
burgerking,northNJ,5.05,10,20,nov1992
kfc,centralNJ,5.05,0,7,nov1992
kfc,northNJ,5.05,4,3,nov1992
kfc,centralNJ,5.05,6,15,nov1992
roys,northNJ,5.05,6,11,nov1992
wendys,centralNJ,5.05,10,35,nov1992
roys,northNJ,5.05,4,60,nov1992
roys,northNJ,5.05,10,12,nov1992
wendys,northNJ,5.05,0,45,nov1992
wendys,northNJ,5.05,25,8,nov1992
burgerking,shoreNJ,5.05,0,35,nov1992
burgerking,centralNJ,5.5,6,25,nov1992
kfc,centralNJ,5.05,2,20,nov1992
wendys,northNJ,5.05,5,25,nov1992
kfc,centralNJ,5.05,3,16,nov1992
roys,centralNJ,5.05,7,18,nov1992
roys,centralNJ,5.05,8,22,nov1992
wendys,centralNJ,5.05,4,37,nov1992
burgerking,northNJ,5.28,10,8,nov1992
burgerking,northNJ,5.25,6,0,nov1992
burgerking,northNJ,5.05,7.5,30,nov1992
burgerking,northNJ,5.05,12,13.5,nov1992
kfc,northNJ,5.5,12,8,nov1992
roys,northNJ,5.05,26,12,nov1992
roys,northNJ,5.05,1.5,33,nov1992
roys,northNJ,5.05,5,15,nov1992
wendys,northNJ,5.05,10,17,nov1992
burgerking,northNJ,5.05,20,6,nov1992
burgerking,northNJ,5.05,20,20,nov1992
roys,shoreNJ,5.05,5,17.5,nov1992
roys,northNJ,5.05,7,30,nov1992
wendys,northNJ,5.05,0,30,nov1992
burgerking,northNJ,5.05,5,21,nov1992
burgerking,northNJ,5.05,10,4,nov1992
roys,northNJ,5.05,15,15,nov1992
roys,northNJ,5.05,12,10,nov1992
roys,northNJ,5.05,8,12,nov1992
burgerking,southNJ,5.05,15,15,nov1992
burgerking,southNJ,5.05,0,42.5,nov1992
kfc,southNJ,5.05,0,15,nov1992
kfc,southNJ,5.25,2,14,nov1992
kfc,southNJ,5.05,3,7,nov1992
kfc,southNJ,5.05,5,15,nov1992
burgerking,northNJ,5.05,4,9,nov1992
kfc,northNJ,5.05,6,12,nov1992
kfc,northNJ,5.05,2,7,nov1992
kfc,shoreNJ,5.05,4,6,nov1992
kfc,shoreNJ,5.05,4,11,nov1992
roys,southNJ,5.05,22,39,nov1992
roys,shoreNJ,5.05,0,45,nov1992
wendys,shoreNJ,5.67,3,20,nov1992
burgerking,southNJ,5.05,0,20,nov1992
roys,southNJ,5.05,0,20,nov1992
wendys,southNJ,5.05,9,7,nov1992
wendys,southNJ,5.05,0,28,nov1992
wendys,northNJ,5.25,21,6,nov1992
burgerking,northNJ,5.25,11,22,nov1992
burgerking,northNJ,5.05,18,15,nov1992
burgerking,northNJ,5.5,0,25,nov1992
burgerking,northNJ,5.05,20,15,nov1992
burgerking,northNJ,5.05,15,15,nov1992
roys,northNJ,5.05,11,23,nov1992
wendys,northNJ,5.5,17,22,nov1992
wendys,northNJ,5.5,8,7,nov1992
burgerking,northNJ,5.05,0,15,nov1992
burgerking,centralNJ,5.05,20,40,nov1992
burgerking,centralNJ,5.25,7.5,10,nov1992
kfc,centralNJ,5.05,4,7,nov1992
roys,centralNJ,5.05,5,30,nov1992
roys,centralNJ,5.15,10,30,nov1992
burgerking,centralNJ,5.05,0,32,nov1992
burgerking,centralNJ,5.05,15,15,nov1992
burgerking,centralNJ,5.05,12,24,nov1992
burgerking,centralNJ,5.05,15,15,nov1992
kfc,centralNJ,5,2,11,nov1992
roys,centralNJ,5.05,5,20,nov1992
roys,centralNJ,5.05,7,17,nov1992
roys,centralNJ,5.05,4,35,nov1992
roys,centralNJ,5.05,8,38,nov1992
burgerking,southNJ,5.05,6,44,nov1992
kfc,southNJ,5.05,0,11,nov1992
roys,southNJ,5.05,3,15,nov1992
burgerking,northNJ,5.05,14,14,nov1992
burgerking,centralNJ,5.05,15,20,nov1992
kfc,northNJ,5.05,0,13,nov1992
roys,northNJ,5.05,2,25,nov1992
roys,northNJ,5.05,11,7,nov1992
wendys,northNJ,5.05,13,18,nov1992
burgerking,centralNJ,5.05,10,20,nov1992
burgerking,northNJ,5.05,15,10,nov1992
burgerking,northNJ,5.05,13,13,nov1992
burgerking,northNJ,5.05,26,10,nov1992
burgerking,northNJ,5.05,4,17.5,nov1992
burgerking,northNJ,5.05,13,17,nov1992
burgerking,northNJ,5.05,0,27,nov1992
burgerking,northNJ,5.05,10,30,nov1992
burgerking,northNJ,5.05,29,14,nov1992
kfc,northNJ,5.05,14,0,nov1992
kfc,northNJ,5.05,4,11,nov1992
roys,northNJ,5.05,25,15,nov1992
roys,northNJ,5.05,8,18,nov1992
wendys,northNJ,5.05,11,14,nov1992
burgerking,centralNJ,5.05,12,30,nov1992
burgerking,centralNJ,5.05,9,12,nov1992
burgerking,shoreNJ,5.05,0,30,nov1992
burgerking,southNJ,5.05,4,37,nov1992
burgerking,shoreNJ,5.05,0,30,nov1992
burgerking,shoreNJ,5.05,14,6,nov1992
burgerking,northNJ,5.05,5,25,nov1992
kfc,centralNJ,5.05,0,14,nov1992
kfc,northNJ,5.05,0,15,nov1992
kfc,centralNJ,5.05,2.5,11,nov1992
kfc,shoreNJ,5.05,3,13,nov1992
roys,shoreNJ,5.05,30,50,nov1992
roys,shoreNJ,5.05,10,12,nov1992
roys,southNJ,5.05,0,27,nov1992
wendys,shoreNJ,5.05,11,10,nov1992
burgerking,northNJ,5.05,0,45,nov1992
burgerking,northNJ,5.05,2,25,nov1992
burgerking,northNJ,5.05,13.5,10,nov1992
burgerking,northNJ,5.05,11,24,nov1992
roys,northNJ,5.05,20,14.5,nov1992
burgerking,centralNJ,5.25,20,40,nov1992
burgerking,centralNJ,5.05,6,15,nov1992
burgerking,centralNJ,5.05,22,12,nov1992
burgerking,northNJ,5.05,18,20,nov1992
burgerking,northNJ,5.05,18,13,nov1992
burgerking,centralNJ,5.05,0,30,nov1992
burgerking,northNJ,5.05,10,50,nov1992
burgerking,centralNJ,5.05,21,6,nov1992
kfc,centralNJ,5.05,0,15,nov1992
roys,centralNJ,5.05,2,38,nov1992
roys,centralNJ,5.5,15,20,nov1992
roys,centralNJ,5.05,3,20,nov1992
roys,centralNJ,5.05,6,27.5,nov1992
roys,northNJ,5.05,12,30,nov1992
wendys,centralNJ,5.67,5,35,nov1992
wendys,centralNJ,5.05,10,25,nov1992
wendys,northNJ,5.05,40,31,nov1992
burgerking,northNJ,5.05,0,32,nov1992
burgerking,northNJ,5.05,8,10,nov1992
burgerking,northNJ,5.75,12,20,nov1992
burgerking,northNJ,5.05,2,18,nov1992
kfc,northNJ,5.05,3,4,nov1992
kfc,northNJ,5.25,10,5,nov1992
roys,northNJ,5.05,3,30,nov1992
wendys,northNJ,5.05,0,35,nov1992
burgerking,northNJ,5.25,0,32,nov1992
burgerking,shoreNJ,5.05,10,12.5,nov1992
burgerking,northNJ,5.05,7,23,nov1992
burgerking,northNJ,5.05,11,30,nov1992
burgerking,shoreNJ,5.05,20,20,nov1992
burgerking,northNJ,5.05,20,27.5,nov1992
kfc,shoreNJ,5.05,1,10,nov1992
kfc,northNJ,5.05,2,10,nov1992
kfc,shoreNJ,5.05,0,17.5,nov1992
kfc,shoreNJ,5.05,0,15,nov1992
kfc,northNJ,5.05,15,10,nov1992
kfc,shoreNJ,5.05,2,6,nov1992
roys,northNJ,5.05,12,18,nov1992
roys,northNJ,5.05,0,19,nov1992
wendys,northNJ,5.25,4.5,30,nov1992
wendys,shoreNJ,5.05,4,9,nov1992
wendys,shoreNJ,5.05,8,25,nov1992
kfc,northNJ,5.05,11,3,nov1992
burgerking,northNJ,5.05,5,40,nov1992
burgerking,northNJ,5.05,16,22,nov1992
burgerking,northNJ,5.05,13,11,nov1992
burgerking,northNJ,5.05,4,34,nov1992
burgerking,northNJ,5.05,12,13.5,nov1992
kfc,northNJ,5.2,8.5,6,nov1992
roys,northNJ,5.05,5,32,nov1992
roys,northNJ,5.05,6,37,nov1992
wendys,northNJ,5.05,0,14,nov1992
burgerking,southNJ,5.05,2,35,nov1992
burgerking,southNJ,5.05,20,15,nov1992
burgerking,southNJ,5.05,12,17.5,nov1992
burgerking,southNJ,5.05,0,35,nov1992
burgerking,southNJ,5.05,20,10,nov1992
kfc,southNJ,5.05,2,18,nov1992
kfc,southNJ,5.05,0,12,nov1992
kfc,southNJ,5.05,5,3,nov1992
kfc,southNJ,5.05,9,9,nov1992
kfc,southNJ,5.05,3,12,nov1992
kfc,southNJ,5.05,1,15,nov1992
roys,southNJ,5.05,2,15,nov1992
roys,southNJ,5.05,3,20,nov1992
roys,southNJ,5.05,12,25,nov1992
wendys,southNJ,5.3,0,26,nov1992
wendys,southNJ,5.05,11,19,nov1992
burgerking,northNJ,5.5,22,11,nov1992
burgerking,northNJ,5.05,15,17,nov1992
burgerking,northNJ,5.05,18,10,nov1992
burgerking,northNJ,5.05,15,7,nov1992
burgerking,northNJ,5.05,9,17,nov1992
kfc,northNJ,5.05,25,15,nov1992
kfc,northNJ,5.05,0,19,nov1992
roys,northNJ,5.05,7,22,nov1992
roys,northNJ,5.05,16,12,nov1992
wendys,northNJ,5.05,0,40,nov1992
wendys,northNJ,5.05,10,14,nov1992
burgerking,shoreNJ,5.05,10,12,nov1992
kfc,shoreNJ,5.05,2,4,nov1992
roys,southNJ,5.05,4,8,nov1992
burgerking,southNJ,5.05,20,18,nov1992
burgerking,southNJ,5.05,4,26,nov1992
burgerking,southNJ,5.05,0,22.5,nov1992
burgerking,southNJ,5.05,0,23,nov1992
burgerking,southNJ,5.05,30,25,nov1992
kfc,southNJ,5.05,10,3,nov1992
kfc,southNJ,5.05,2,11,nov1992
kfc,southNJ,5.05,1,8,nov1992
kfc,southNJ,5.05,1,14,nov1992
kfc,southNJ,5.05,0,9,nov1992
roys,southNJ,5.05,6,12,nov1992
roys,southNJ,5.05,3,15,nov1992
roys,southNJ,5.05,2,15,nov1992
roys,southNJ,5.05,2,15,nov1992
roys,southNJ,5.05,5,9,nov1992
roys,southNJ,5.05,3,10,nov1992
wendys,southNJ,5.05,0,23,nov1992
wendys,southNJ,5.1,5,16,nov1992
wendys,shoreNJ,5.05,15,11,nov1992
burgerking,northNJ,5.05,15,30,nov1992
roys,northNJ,5.05,12,35,nov1992
roys,northNJ,5.05,10,15,nov1992
roys,northNJ,5.05,5,22,nov1992
roys,northNJ,5.2,25,25,nov1992
wendys,northNJ,5.05,3,23,nov1992
burgerking,shoreNJ,5.05,3,2,nov1992
burgerking,shoreNJ,5.05,0,30,nov1992
burgerking,shoreNJ,5.25,15,6,nov1992
burgerking,shoreNJ,5.05,12,14,nov1992
burgerking,shoreNJ,5.05,4,0,nov1992
kfc,shoreNJ,5.05,7,6,nov1992
kfc,shoreNJ,5.05,22,4,nov1992
roys,shoreNJ,5.05,12,5,nov1992
roys,shoreNJ,5.05,1,15,nov1992
burgerking,centralNJ,5.05,3,20,nov1992
burgerking,southNJ,5.05,10,20,nov1992
burgerking,southNJ,5.05,25,5,nov1992
burgerking,southNJ,5.05,5,9,nov1992
burgerking,southNJ,5.05,15,17,nov1992
kfc,southNJ,5.05,3,7,nov1992
kfc,southNJ,5.05,4,11,nov1992
roys,southNJ,5.05,5,20,nov1992
roys,southNJ,5.05,10,20,nov1992
burgerking,southNJ,5.05,0,26,nov1992
burgerking,southNJ,5.05,5,32,nov1992
burgerking,southNJ,5.05,4,23,nov1992
kfc,southNJ,5.05,24,4,nov1992
kfc,southNJ,5.2,14,7,nov1992
kfc,southNJ,5.05,1,30,nov1992
roys,southNJ,5.05,1,19,nov1992
wendys,southNJ,5.05,0,25,nov1992
burgerking,northNJ,5.05,26,5,nov1992
burgerking,northNJ,5.05,0,17,nov1992
burgerking,northNJ,5.05,11,12,nov1992
burgerking,northNJ,5.05,28,6,nov1992
burgerking,northNJ,5.05,15,14,nov1992
burgerking,northNJ,5.05,7,2,nov1992
burgerking,northNJ,5.05,15,14,nov1992
burgerking,northNJ,5.05,14,10,nov1992
kfc,northNJ,5.05,12,7,nov1992
kfc,northNJ,5.25,18,4,nov1992
roys,northNJ,5.4,8,30,nov1992
roys,northNJ,5.05,6,15,nov1992
roys,northNJ,5.05,25,15,nov1992
roys,northNJ,5.05,18,18,nov1992
roys,northNJ,5.05,8,24,nov1992
roys,northNJ,5.05,5,27,nov1992
roys,northNJ,5.05,17,5,nov1992
roys,northNJ,5.05,1.5,15,nov1992
burgerking,northNJ,5.05,0,35,nov1992
burgerking,northNJ,5.05,4,36,nov1992
kfc,centralNJ,5.05,0,13,nov1992
burgerking,northNJ,5.05,0,20,nov1992
burgerking,northNJ,5.05,13,9,nov1992
burgerking,northNJ,5.05,0,38,nov1992
burgerking,northNJ,5.05,13,17,nov1992
burgerking,northNJ,5.05,0,35,nov1992
kfc,northNJ,5.05,5,5,nov1992
kfc,northNJ,5.05,25,7,nov1992
kfc,northNJ,5.05,5,10,nov1992
kfc,northNJ,5.25,19,3.5,nov1992
kfc,northNJ,5.25,12,3,nov1992
roys,northNJ,5.05,5,25,nov1992
wendys,northNJ,5.05,0,35,nov1992
wendys,northNJ,5.14,10,24,nov1992
